"id","osservazione_categoria_id/id","indice_osservazione","vincolante","name"
"__export__.gevi_verbali_osservazione_64","__export__.gevi_verbali_osservazione_categoria_12","6","False","Copia delle comunicazioni con il Comune per la messa in esercizio dell’impianto, mancante (matricola impianto presente)"
"__export__.gevi_verbali_osservazione_65","__export__.gevi_verbali_osservazione_categoria_12","7","False","Nel libretto non sono aggiornati i risultati delle verifiche semestrali del manutentore (art 15 DPR 162/99 e s.m.i.)"
"__export__.gevi_verbali_osservazione_66","__export__.gevi_verbali_osservazione_categoria_12","8","False","Impianto in attesa di assegnazione del numero di matricola da parte del comune. Richiesta effettuata il _______ con ________ prot. ____________ (specificare)"
"__export__.gevi_verbali_osservazione_67","__export__.gevi_verbali_osservazione_categoria_13","1","True","L’accesso al locale macchinario avviene attraverso luoghi privati"
"__export__.gevi_verbali_osservazione_68","__export__.gevi_verbali_osservazione_categoria_13","2","False","Citofono fra cabina e locale macchinario non efficiente"
"__export__.gevi_verbali_osservazione_69","__export__.gevi_verbali_osservazione_categoria_13","3","False","Rischio di caduta oggetti dal locale macchina al vano di corsa non trascurabile (fori funi e/o cavi) (specificare)"
"__export__.gevi_verbali_osservazione_70","__export__.gevi_verbali_osservazione_categoria_13","4","False","Griglia aerazione locale macchinario mancante"
"__export__.gevi_verbali_osservazione_71","__export__.gevi_verbali_osservazione_categoria_13","5","False","Mancano i cartelli regolamentari sulla porta del locale macchinario/rinvii"
"__export__.gevi_verbali_osservazione_72","__export__.gevi_verbali_osservazione_categoria_13","6","False","Accesso al locale macchinario ostruito da ostacoli"
"__export__.gevi_verbali_osservazione_73","__export__.gevi_verbali_osservazione_categoria_13","7","False","Nel locale macchinario sono presenti materiali/apparecchiature estranee (specificare)"
"__export__.gevi_verbali_osservazione_74","__export__.gevi_verbali_osservazione_categoria_13","8","False","Illuminamento percorso accesso locale macchinario inadeguato"
"__export__.gevi_verbali_osservazione_75","__export__.gevi_verbali_osservazione_categoria_13","9","False","Dispositivo di chiusura della porta del locale del macchinario non regolamentare"
"__export__.gevi_verbali_osservazione_76","__export__.gevi_verbali_osservazione_categoria_13","10","False","Illuminamento locale macchinario/pulegge di rinvio inadeguato (specificare)"
"__export__.gevi_verbali_osservazione_77","__export__.gevi_verbali_osservazione_categoria_13","11","False","Infiltrazioni di acqua nel locale macchinario/ pulegge di rinvio (specificare ove occorre) "
"__export__.gevi_verbali_osservazione_78","__export__.gevi_verbali_osservazione_categoria_13","12","False","Le chiavi di accesso al locale macchinario/pulegge di rinvio sono di difficile reperibilità (specificare)"
"__export__.gevi_verbali_osservazione_79","__export__.gevi_verbali_osservazione_categoria_13","13","False","Il locale macchinario/pulegge di rinvio versa in condizioni igieniche precarie (specificare)"
"__export__.gevi_verbali_osservazione_80","__export__.gevi_verbali_osservazione_categoria_13","14","False","Manca lampada portatile di sicurezza"
"__export__.gevi_verbali_osservazione_81","__export__.gevi_verbali_osservazione_categoria_13","15","False","La servitù di passaggio nel locale macchine non risulta adeguatamente delimitata."
"__export__.gevi_verbali_osservazione_82","__export__.gevi_verbali_osservazione_categoria_13","16","False","Pulsante di accensione luce locale macchine non regolamentare"
"__export__.gevi_verbali_osservazione_83","__export__.gevi_verbali_osservazione_categoria_13","17","False","Nel locale del macchinario/vano di corsa manca gancio per sollevamento materiali pesanti (specificare)"
"__export__.gevi_verbali_osservazione_84","__export__.gevi_verbali_osservazione_categoria_13","18","False","Portata gancio nel locale macchine/vano di corsa non specificata"
"__export__.gevi_verbali_osservazione_85","__export__.gevi_verbali_osservazione_categoria_13","19","False","Luce di emergenza locale macchinario mancante/non funzionante (specificare)"
"__export__.gevi_verbali_osservazione_86","__export__.gevi_verbali_osservazione_categoria_13","20","False","Linee elettriche forza motrice e luce, a valle dei contatori, non correttamente separate"
"__export__.gevi_verbali_osservazione_87","__export__.gevi_verbali_osservazione_categoria_13","21","False","Parapetto gradino nel locale del macchinario non regolamentare"
"__export__.gevi_verbali_osservazione_88","__export__.gevi_verbali_osservazione_categoria_14","1","True","E’ presente acqua in fossa a livello apparecchiature"
"__export__.gevi_verbali_osservazione_89","__export__.gevi_verbali_osservazione_categoria_14","2","True","Non sono presenti/efficienti i dispositivi atti a garantire i volumi rifugio alle estremità del vano corsa"
"__export__.gevi_verbali_osservazione_90","__export__.gevi_verbali_osservazione_categoria_14","3","True","Il dispositivo di arresto o la pulsantiera, previsti nel locale rinvii, fossa, testata, non funziona regolarmente o è collocato in posizione non regolare (specificare)"
"__export__.gevi_verbali_osservazione_91","__export__.gevi_verbali_osservazione_categoria_14","4","True","La piattaforma per disabili è mantenuta in esercizio in modalità automatica e non esclusivamente ad 'uomo presente'"
"__export__.gevi_verbali_osservazione_92","__export__.gevi_verbali_osservazione_categoria_14","5","True","Lo sbarco avviene in luogo o locale chiuso non dotato di allarme"
"__export__.gevi_verbali_osservazione_93","__export__.gevi_verbali_osservazione_categoria_14","6","False","Il dislivello al piano risulta non trascurabile"
"__export__.gevi_verbali_osservazione_94","__export__.gevi_verbali_osservazione_categoria_14","7","False","E’ presente acqua in fossa non a livello apparecchiature"
"__export__.gevi_verbali_osservazione_95","__export__.gevi_verbali_osservazione_categoria_14","8","False","Manca scaletta in fossa"
"__export__.gevi_verbali_osservazione_96","__export__.gevi_verbali_osservazione_categoria_14","9","False","Illuminamento cabina inadeguato o non funzionante (specificare) "
"__export__.gevi_verbali_osservazione_97","__export__.gevi_verbali_osservazione_categoria_14","10","False","Luce emergenza di cabina assente o non funzionante"
"__export__.gevi_verbali_osservazione_98","__export__.gevi_verbali_osservazione_categoria_14","11","False","La segnalazione di cabina al piano non esiste o non funziona (specificare)"
"__export__.gevi_verbali_osservazione_99","__export__.gevi_verbali_osservazione_categoria_14","12","False","La fossa/tetto di cabina, etc.. versa in condizioni igieniche precarie (specificare)"
"__export__.gevi_verbali_osservazione_100","__export__.gevi_verbali_osservazione_categoria_14","13","False","Presenti rifiuti in fossa/su tetto cabina, etc.. (specificare)"
"__export__.gevi_verbali_osservazione_101","__export__.gevi_verbali_osservazione_categoria_14","14","False","Illuminamento del vano ascensore inadeguata"
"__export__.gevi_verbali_osservazione_102","__export__.gevi_verbali_osservazione_categoria_14","15","False","Il quadretto di distribuzione elettrica è obsoleto"
"__export__.gevi_verbali_osservazione_103","__export__.gevi_verbali_osservazione_categoria_14","16","False","Bottoniera di manutenzione usurata"
"__export__.gevi_verbali_osservazione_104","__export__.gevi_verbali_osservazione_categoria_14","17","False","Pattini/rulli di cabina/contrappeso usurati (specificare)"
"__export__.gevi_verbali_osservazione_105","__export__.gevi_verbali_osservazione_categoria_14","18","False","Bordiglioni allentati"
"__export__.gevi_verbali_osservazione_106","__export__.gevi_verbali_osservazione_categoria_14","19","False","Il dispositivo di ritorno al piano in emergenza, pur avendo funzionato alla prova, non è pienamente efficiente, si raccomanda la sostituzione delle batterie"
"__export__.gevi_verbali_osservazione_107","__export__.gevi_verbali_osservazione_categoria_14","20","False","Posizione STOP in fossa non regolamentare"
"__export__.gevi_verbali_osservazione_108","__export__.gevi_verbali_osservazione_categoria_14","21","False","Posizione deviatore luci in fossa non regolamentare"
"__export__.gevi_verbali_osservazione_109","__export__.gevi_verbali_osservazione_categoria_14","22","False","Lampada in fossa non regolamentare / assente (specificare)"
"__export__.gevi_verbali_osservazione_110","__export__.gevi_verbali_osservazione_categoria_14","23","False","Griglia aerazione vano di corsa mancante"
"__export__.gevi_verbali_osservazione_111","__export__.gevi_verbali_osservazione_categoria_14","24","False","Aerazione vano di corsa non regolamentare"
"__export__.gevi_verbali_osservazione_112","__export__.gevi_verbali_osservazione_categoria_14","25","False","Interruttore sotto vetro vetusto/usurato (specificare)"
"__export__.gevi_verbali_osservazione_113","__export__.gevi_verbali_osservazione_categoria_14","26","False","Protezione interruttore sotto vetro inadeguata"
"__export__.gevi_verbali_osservazione_114","__export__.gevi_verbali_osservazione_categoria_14","27","False","Bottoniera di cabina usurata"
"__export__.gevi_verbali_osservazione_115","__export__.gevi_verbali_osservazione_categoria_14","28","False","Superficie vetrata delle porte di piano non regolamentare"
"__export__.gevi_verbali_osservazione_116","__export__.gevi_verbali_osservazione_categoria_14","29","False","Display di cabina rotto/non funzionante"
"__export__.gevi_verbali_osservazione_117","__export__.gevi_verbali_osservazione_categoria_14","30","False","Operatore porte di cabina vetusto"
"__export__.gevi_verbali_osservazione_118","__export__.gevi_verbali_osservazione_categoria_14","31","False","Dispositivi elettrici di sicurezza sportelli di ispezione del contrappeso assenti"
"__export__.gevi_verbali_osservazione_119","__export__.gevi_verbali_osservazione_categoria_14","32","False","Tanica raccolta olio di recupero pistone mancante"
